committee,count
Judiciary Committee,1706
Energy and Commerce Committee,1558
Ways and Means Committee,982
Oversight and Accountability Committee,743
Education and the Workforce Committee,680
Foreign Affairs Committee,677
"Health, Education, Labor, and Pensions Committee",650
Natural Resources Committee,621
Finance Committee,587
Veterans,524
Transportation and Infrastructure Committee,519
Financial Services Committee,502
Armed Services Committee,451
Homeland Security and Governmental Affairs Committee,433
"Commerce, Science, and Transportation Committee",387
Foreign Relations Committee,386
Energy and Natural Resources Committee,345
"Banking, Housing, and Urban Affairs Committee",312
Committee on House Administration,278
Agriculture Committee,262
Homeland Security Committee,193
Rules Committee,189
Environment and Public Works Committee,182
"Science, Space, and Technology Committee",176
Budget Committee,159
Small Business Committee,114
"Agriculture, Nutrition, and Forestry Committee",100
Appropriations Committee,97
Small Business and Entrepreneurship Committee,85
Rules and Administration Committee,76
Indian Affairs Committee,67
Affairs Committee,65
Intelligence (Permanent Select) Committee,53
Ethics Committee,22
Intelligence (Select) Committee,7
Aging (Special) Committee,1
