source,target,weight
Energy and Commerce Committee,Judiciary Committee,131
Committee on House Administration,Rules and Administration Committee,11
Education and the Workforce Committee,Judiciary Committee,100
Energy and Commerce Committee,Ways and Means Committee,311
Energy and Commerce Committee,Foreign Relations Committee,1
Budget Committee,Committee on House Administration,12
Budget Committee,Oversight and Accountability Committee,32
Committee on House Administration,Oversight and Accountability Committee,84
Armed Services Committee,Natural Resources Committee,22
Armed Services Committee,Energy and Commerce Committee,28
,Veterans,80
Education and the Workforce Committee,Energy and Commerce Committee,116
Education and the Workforce Committee,Oversight and Accountability Committee,40
Education and the Workforce Committee,Transportation and Infrastructure Committee,24
Energy and Commerce Committee,Oversight and Accountability Committee,48
Energy and Commerce Committee,Transportation and Infrastructure Committee,97
Judiciary Committee,Oversight and Accountability Committee,79
Judiciary Committee,Transportation and Infrastructure Committee,28
Oversight and Accountability Committee,Transportation and Infrastructure Committee,37
Appropriations Committee,Committee on House Administration,31
Homeland Security Committee,Judiciary Committee,37
Armed Services Committee,Veterans,33
Financial Services Committee,Ways and Means Committee,54
Foreign Affairs Committee,Rules Committee,10
Foreign Affairs Committee,Judiciary Committee,57
Energy and Commerce Committee,Foreign Affairs Committee,38
Armed Services Committee,Foreign Affairs Committee,54
Appropriations Committee,Budget Committee,24
Appropriations Committee,Ways and Means Committee,47
Budget Committee,Ways and Means Committee,63
Education and the Workforce Committee,Ways and Means Committee,129
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,69
Budget Committee,Rules Committee,57
Energy and Natural Resources Committee,Natural Resources Committee,49
Energy and Commerce Committee,Energy and Natural Resources Committee,8
Energy and Commerce Committee,"Science, Space, and Technology Committee",58
Energy and Natural Resources Committee,"Science, Space, and Technology Committee",2
Homeland Security Committee,Homeland Security and Governmental Affairs Committee,18
Homeland Security and Governmental Affairs Committee,Judiciary Committee,8
Environment and Public Works Committee,Oversight and Accountability Committee,2
Environment and Public Works Committee,Rules Committee,1
Environment and Public Works Committee,Transportation and Infrastructure Committee,12
Oversight and Accountability Committee,Rules Committee,42
Rules Committee,Transportation and Infrastructure Committee,13
Committee on House Administration,Natural Resources Committee,35
Judiciary Committee,Ways and Means Committee,106
Transportation and Infrastructure Committee,Ways and Means Committee,71
Armed Services Committee,Small Business Committee,2
Agriculture Committee,Education and the Workforce Committee,30
Agriculture Committee,Energy and Commerce Committee,55
Agriculture Committee,Judiciary Committee,27
Agriculture Committee,Natural Resources Committee,67
Agriculture Committee,"Science, Space, and Technology Committee",12
Education and the Workforce Committee,Natural Resources Committee,51
Education and the Workforce Committee,"Science, Space, and Technology Committee",23
Energy and Commerce Committee,Natural Resources Committee,102
Judiciary Committee,Natural Resources Committee,67
Judiciary Committee,"Science, Space, and Technology Committee",20
Natural Resources Committee,"Science, Space, and Technology Committee",35
Armed Services Committee,Oversight and Accountability Committee,33
Foreign Affairs Committee,Oversight and Accountability Committee,28
Judiciary Committee,Rules Committee,46
Agriculture Committee,Financial Services Committee,35
Agriculture Committee,Foreign Affairs Committee,16
Agriculture Committee,Oversight and Accountability Committee,20
Agriculture Committee,Ways and Means Committee,45
Energy and Commerce Committee,Financial Services Committee,35
Financial Services Committee,Foreign Affairs Committee,40
Financial Services Committee,Judiciary Committee,52
Financial Services Committee,Oversight and Accountability Committee,36
Foreign Affairs Committee,Ways and Means Committee,44
Oversight and Accountability Committee,Ways and Means Committee,64
Financial Services Committee,Intelligence (Permanent Select) Committee,2
Intelligence (Permanent Select) Committee,Judiciary Committee,16
Energy and Commerce Committee,Veterans,11
Foreign Affairs Committee,Veterans,5
Budget Committee,Judiciary Committee,29
Budget Committee,Natural Resources Committee,23
Natural Resources Committee,Ways and Means Committee,68
Foreign Affairs Committee,Transportation and Infrastructure Committee,15
Small Business Committee,Transportation and Infrastructure Committee,9
Energy and Commerce Committee,Homeland Security Committee,15
Natural Resources Committee,Transportation and Infrastructure Committee,73
Finance Committee,Judiciary Committee,4
Appropriations Committee,Education and the Workforce Committee,29
Appropriations Committee,Energy and Commerce Committee,39
Appropriations Committee,Judiciary Committee,28
Appropriations Committee,Natural Resources Committee,29
Committee on House Administration,Education and the Workforce Committee,47
Committee on House Administration,Energy and Commerce Committee,40
Committee on House Administration,Judiciary Committee,55
Committee on House Administration,Ways and Means Committee,45
Homeland Security Committee,Transportation and Infrastructure Committee,29
Homeland Security Committee,Oversight and Accountability Committee,13
,Education and the Workforce Committee,7
,Rules Committee,1
,Transportation and Infrastructure Committee,5
Education and the Workforce Committee,Rules Committee,34
Education and the Workforce Committee,Veterans,12
Rules Committee,Veterans,1
Transportation and Infrastructure Committee,Veterans,7
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,26
"Health, Education, Labor, and Pensions Committee",Oversight and Accountability Committee,1
"Commerce, Science, and Transportation Committee",Homeland Security Committee,6
Energy and Commerce Committee,Rules Committee,45
Committee on House Administration,Homeland Security and Governmental Affairs Committee,2
Armed Services Committee,Committee on House Administration,2
Energy and Commerce Committee,Intelligence (Permanent Select) Committee,3
Foreign Affairs Committee,Homeland Security Committee,7
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,8
Foreign Affairs Committee,"Science, Space, and Technology Committee",11
Homeland Security Committee,Intelligence (Permanent Select) Committee,7
Homeland Security Committee,"Science, Space, and Technology Committee",9
Intelligence (Permanent Select) Committee,"Science, Space, and Technology Committee",3
Intelligence (Permanent Select) Committee,Transportation and Infrastructure Committee,3
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,43
Budget Committee,Energy and Commerce Committee,33
Budget Committee,Transportation and Infrastructure Committee,16
Finance Committee,"Health, Education, Labor, and Pensions Committee",2
Finance Committee,Ways and Means Committee,10
"Health, Education, Labor, and Pensions Committee",Ways and Means Committee,1
"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,7
,Energy and Commerce Committee,7
,Oversight and Accountability Committee,5
,Ways and Means Committee,4
Oversight and Accountability Committee,Veterans,6
Veterans,Ways and Means Committee,9
"Agriculture, Nutrition, and Forestry Committee",Natural Resources Committee,3
Rules Committee,Ways and Means Committee,54
Appropriations Committee,Financial Services Committee,6
Appropriations Committee,Small Business Committee,1
Financial Services Committee,Small Business Committee,12
Small Business Committee,Ways and Means Committee,17
Oversight and Accountability Committee,Small Business Committee,17
Armed Services Committee,Education and the Workforce Committee,21
Budget Committee,Financial Services Committee,14
Budget Committee,Homeland Security Committee,2
Homeland Security Committee,Ways and Means Committee,13
Natural Resources Committee,Oversight and Accountability Committee,29
"Commerce, Science, and Transportation Committee",Natural Resources Committee,4
Armed Services Committee,Intelligence (Permanent Select) Committee,13
Judiciary Committee,Small Business Committee,9
Appropriations Committee,Oversight and Accountability Committee,17
Education and the Workforce Committee,Financial Services Committee,36
Armed Services Committee,Ways and Means Committee,25
Homeland Security and Governmental Affairs Committee,Transportation and Infrastructure Committee,3
Armed Services Committee,Budget Committee,8
Agriculture Committee,Armed Services Committee,11
Agriculture Committee,Homeland Security Committee,7
Armed Services Committee,Homeland Security Committee,13
Armed Services Committee,Judiciary Committee,27
Homeland Security Committee,Natural Resources Committee,6
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",3
Armed Services Committee,Rules Committee,2
Agriculture Committee,Committee on House Administration,11
Agriculture Committee,Rules Committee,12
Agriculture Committee,Small Business Committee,3
Agriculture Committee,Transportation and Infrastructure Committee,25
Committee on House Administration,Financial Services Committee,17
Committee on House Administration,Rules Committee,43
Committee on House Administration,"Science, Space, and Technology Committee",9
Committee on House Administration,Small Business Committee,3
Committee on House Administration,Transportation and Infrastructure Committee,8
Education and the Workforce Committee,Small Business Committee,8
Energy and Commerce Committee,Small Business Committee,8
Financial Services Committee,Rules Committee,9
Financial Services Committee,"Science, Space, and Technology Committee",10
Financial Services Committee,Transportation and Infrastructure Committee,28
Oversight and Accountability Committee,"Science, Space, and Technology Committee",19
Rules Committee,"Science, Space, and Technology Committee",6
Rules Committee,Small Business Committee,3
"Science, Space, and Technology Committee",Small Business Committee,8
"Science, Space, and Technology Committee",Ways and Means Committee,32
Rules and Administration Committee,Ways and Means Committee,1
,Small Business Committee,1
Small Business Committee,Veterans,1
Financial Services Committee,Foreign Relations Committee,4
Foreign Affairs Committee,Foreign Relations Committee,19
Foreign Relations Committee,Judiciary Committee,5
Foreign Relations Committee,Oversight and Accountability Committee,3
Foreign Relations Committee,Ways and Means Committee,2
Education and the Workforce Committee,Foreign Affairs Committee,12
,Affairs Committee,19
Affairs Committee,Veterans,19
Agriculture Committee,Ethics Committee,1
Committee on House Administration,Ethics Committee,3
Ethics Committee,Financial Services Committee,1
