source,target,weight
Financial Services Committee,Ways and Means Committee,90
Appropriations Committee,Committee on House Administration,10
Foreign Affairs Committee,Foreign Relations Committee,53
Education and the Workforce Committee,Judiciary Committee,135
Agriculture Committee,Ways and Means Committee,47
Budget Committee,Financial Services Committee,15
Budget Committee,Judiciary Committee,23
Financial Services Committee,Judiciary Committee,98
Education and the Workforce Committee,Energy and Commerce Committee,131
Energy and Commerce Committee,Judiciary Committee,189
Armed Services Committee,Foreign Affairs Committee,81
Armed Services Committee,Natural Resources Committee,19
Armed Services Committee,Oversight and Accountability Committee,44
Foreign Affairs Committee,Natural Resources Committee,23
Foreign Affairs Committee,Oversight and Accountability Committee,44
Natural Resources Committee,Oversight and Accountability Committee,23
Rules Committee,Ways and Means Committee,35
Finance Committee,Ways and Means Committee,52
Committee on House Administration,Ways and Means Committee,33
Armed Services Committee,Veterans,57
Committee on House Administration,Financial Services Committee,34
Foreign Affairs Committee,Judiciary Committee,124
Foreign Affairs Committee,Ways and Means Committee,55
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,57
Intelligence (Permanent Select) Committee,Judiciary Committee,34
Energy and Commerce Committee,Foreign Affairs Committee,55
Committee on House Administration,Oversight and Accountability Committee,84
Education and the Workforce Committee,"Health, Education, Labor, and Pensions Committee",15
Committee on House Administration,Foreign Affairs Committee,7
"Commerce, Science, and Transportation Committee",Foreign Affairs Committee,3
Committee on House Administration,Rules and Administration Committee,7
Energy and Commerce Committee,Ways and Means Committee,448
Education and the Workforce Committee,Energy and Natural Resources Committee,2
Committee on House Administration,Transportation and Infrastructure Committee,11
Education and the Workforce Committee,Oversight and Accountability Committee,52
Education and the Workforce Committee,Transportation and Infrastructure Committee,31
Energy and Commerce Committee,Oversight and Accountability Committee,66
Energy and Commerce Committee,Transportation and Infrastructure Committee,99
Judiciary Committee,Oversight and Accountability Committee,120
Judiciary Committee,Transportation and Infrastructure Committee,37
Oversight and Accountability Committee,Transportation and Infrastructure Committee,28
Judiciary Committee,Natural Resources Committee,47
Appropriations Committee,Budget Committee,25
Appropriations Committee,Ways and Means Committee,14
Budget Committee,Ways and Means Committee,34
Foreign Affairs Committee,Rules Committee,14
Energy and Natural Resources Committee,Natural Resources Committee,107
Education and the Workforce Committee,Ways and Means Committee,174
,Affairs Committee,70
,Veterans,114
Affairs Committee,Veterans,70
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,111
Agriculture Committee,Financial Services Committee,31
Committee on House Administration,Judiciary Committee,52
Committee on House Administration,"Science, Space, and Technology Committee",10
Financial Services Committee,Oversight and Accountability Committee,53
Financial Services Committee,"Science, Space, and Technology Committee",11
Judiciary Committee,"Science, Space, and Technology Committee",11
Judiciary Committee,Ways and Means Committee,134
Oversight and Accountability Committee,"Science, Space, and Technology Committee",16
Oversight and Accountability Committee,Ways and Means Committee,94
"Science, Space, and Technology Committee",Ways and Means Committee,19
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",46
Education and the Workforce Committee,Natural Resources Committee,39
Energy and Commerce Committee,Natural Resources Committee,88
Natural Resources Committee,Ways and Means Committee,52
Financial Services Committee,Homeland Security Committee,8
Financial Services Committee,Transportation and Infrastructure Committee,44
Homeland Security Committee,Judiciary Committee,88
Homeland Security Committee,Transportation and Infrastructure Committee,36
Budget Committee,Energy and Commerce Committee,21
Budget Committee,Natural Resources Committee,15
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,88
Agriculture Committee,Education and the Workforce Committee,30
Agriculture Committee,Energy and Commerce Committee,68
Agriculture Committee,Natural Resources Committee,94
Agriculture Committee,"Science, Space, and Technology Committee",19
Agriculture Committee,Transportation and Infrastructure Committee,44
Education and the Workforce Committee,"Science, Space, and Technology Committee",29
Energy and Commerce Committee,"Science, Space, and Technology Committee",62
Natural Resources Committee,"Science, Space, and Technology Committee",36
Natural Resources Committee,Transportation and Infrastructure Committee,71
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,44
Transportation and Infrastructure Committee,Ways and Means Committee,57
Foreign Relations Committee,Judiciary Committee,14
Budget Committee,Oversight and Accountability Committee,14
Budget Committee,Rules Committee,29
Oversight and Accountability Committee,Rules Committee,27
"Banking, Housing, and Urban Affairs Committee",Rules Committee,2
Financial Services Committee,Rules Committee,16
Energy and Natural Resources Committee,Veterans,4
Natural Resources Committee,Veterans,8
Agriculture Committee,Foreign Affairs Committee,16
Agriculture Committee,Judiciary Committee,29
Financial Services Committee,Foreign Affairs Committee,68
Foreign Affairs Committee,Transportation and Infrastructure Committee,21
Agriculture Committee,Oversight and Accountability Committee,20
Energy and Commerce Committee,Financial Services Committee,60
Homeland Security Committee,Homeland Security and Governmental Affairs Committee,105
Committee on House Administration,Education and the Workforce Committee,33
Education and the Workforce Committee,Financial Services Committee,50
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",19
Energy and Natural Resources Committee,"Science, Space, and Technology Committee",8
Indian Affairs Committee,Natural Resources Committee,22
Homeland Security Committee,Ways and Means Committee,27
Small Business Committee,Small Business and Entrepreneurship Committee,19
Committee on House Administration,Energy and Commerce Committee,24
Budget Committee,Education and the Workforce Committee,14
Energy and Commerce Committee,Homeland Security Committee,22
Foreign Affairs Committee,Homeland Security Committee,29
"Health, Education, Labor, and Pensions Committee",Judiciary Committee,5
Appropriations Committee,Veterans,3
Homeland Security and Governmental Affairs Committee,Transportation and Infrastructure Committee,18
Armed Services Committee,Homeland Security Committee,13
Armed Services Committee,Transportation and Infrastructure Committee,29
"Commerce, Science, and Transportation Committee",Homeland Security Committee,24
Judiciary Committee,Rules Committee,33
Homeland Security and Governmental Affairs Committee,Judiciary Committee,14
Financial Services Committee,Foreign Relations Committee,9
Foreign Relations Committee,Ways and Means Committee,5
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,19
"Commerce, Science, and Transportation Committee",Natural Resources Committee,10
Energy and Natural Resources Committee,Transportation and Infrastructure Committee,4
Transportation and Infrastructure Committee,Veterans,8
Energy and Commerce Committee,Homeland Security and Governmental Affairs Committee,4
Armed Services Committee,Intelligence (Permanent Select) Committee,24
"Science, Space, and Technology Committee",Small Business Committee,11
Budget Committee,Homeland Security and Governmental Affairs Committee,2
Homeland Security and Governmental Affairs Committee,Rules Committee,3
Energy and Commerce Committee,Energy and Natural Resources Committee,22
Committee on House Administration,Homeland Security and Governmental Affairs Committee,6
Homeland Security and Governmental Affairs Committee,Ways and Means Committee,4
Education and the Workforce Committee,Foreign Affairs Committee,23
Education and the Workforce Committee,Homeland Security Committee,10
Energy and Commerce Committee,Finance Committee,36
Armed Services Committee,Education and the Workforce Committee,22
Armed Services Committee,Ways and Means Committee,33
Education and the Workforce Committee,Rules Committee,13
Armed Services Committee,Energy and Commerce Committee,34
Appropriations Committee,Foreign Affairs Committee,7
Armed Services Committee,"Science, Space, and Technology Committee",15
Foreign Affairs Committee,"Science, Space, and Technology Committee",14
