source,target,weight
Environment and Public Works Committee,Transportation and Infrastructure Committee,32
Education and the Workforce Committee,Natural Resources Committee,35
Financial Services Committee,Natural Resources Committee,11
Agriculture Committee,"Banking, Housing, and Urban Affairs Committee",1
Agriculture Committee,Ways and Means Committee,24
"Banking, Housing, and Urban Affairs Committee",Budget Committee,1
"Banking, Housing, and Urban Affairs Committee",Energy and Commerce Committee,1
"Banking, Housing, and Urban Affairs Committee",Oversight and Accountability Committee,2
"Banking, Housing, and Urban Affairs Committee",Rules Committee,1
"Banking, Housing, and Urban Affairs Committee",Ways and Means Committee,3
,Transportation and Infrastructure Committee,6
Transportation and Infrastructure Committee,Veterans,11
Committee on House Administration,Rules and Administration Committee,18
Armed Services Committee,Oversight and Accountability Committee,41
Armed Services Committee,"Science, Space, and Technology Committee",4
Armed Services Committee,Ways and Means Committee,24
"Science, Space, and Technology Committee",Ways and Means Committee,30
Financial Services Committee,"Science, Space, and Technology Committee",7
Judiciary Committee,"Science, Space, and Technology Committee",11
Financial Services Committee,Small Business and Entrepreneurship Committee,1
Education and the Workforce Committee,Small Business Committee,6
Education and the Workforce Committee,Veterans,9
Small Business Committee,Veterans,2
Budget Committee,Natural Resources Committee,7
Budget Committee,"Science, Space, and Technology Committee",4
Armed Services Committee,Intelligence (Permanent Select) Committee,20
Appropriations Committee,Committee on House Administration,14
Appropriations Committee,Education and the Workforce Committee,21
Appropriations Committee,Energy and Commerce Committee,25
Appropriations Committee,Judiciary Committee,19
Appropriations Committee,Natural Resources Committee,15
Committee on House Administration,Rules Committee,24
Committee on House Administration,Ways and Means Committee,28
Natural Resources Committee,Rules Committee,19
,Armed Services Committee,6
,Energy and Commerce Committee,5
Appropriations Committee,Transportation and Infrastructure Committee,7
Appropriations Committee,Financial Services Committee,8
Rules Committee,"Science, Space, and Technology Committee",3
Appropriations Committee,Oversight and Accountability Committee,10
Appropriations Committee,Veterans,3
Oversight and Accountability Committee,Veterans,8
Veterans,Ways and Means Committee,13
Committee on House Administration,Ethics Committee,3
Committee on House Administration,Homeland Security and Governmental Affairs Committee,5
Ethics Committee,Homeland Security and Governmental Affairs Committee,1
"Health, Education, Labor, and Pensions Committee",Homeland Security Committee,4
"Health, Education, Labor, and Pensions Committee",Transportation and Infrastructure Committee,1
Homeland Security Committee,Ways and Means Committee,18
Budget Committee,"Commerce, Science, and Transportation Committee",1
Agriculture Committee,Appropriations Committee,1
"Agriculture, Nutrition, and Forestry Committee",Education and the Workforce Committee,3
Armed Services Committee,Transportation and Infrastructure Committee,12
Small Business Committee,Ways and Means Committee,14
Foreign Affairs Committee,Transportation and Infrastructure Committee,12
Intelligence (Permanent Select) Committee,Judiciary Committee,19
Homeland Security Committee,Rules Committee,2
Financial Services Committee,Indian Affairs Committee,1
Armed Services Committee,Education and the Workforce Committee,18
Agriculture Committee,Committee on House Administration,2
Agriculture Committee,Ethics Committee,1
Committee on House Administration,Financial Services Committee,15
Ethics Committee,Financial Services Committee,1
"Commerce, Science, and Transportation Committee",Homeland Security Committee,11
Homeland Security Committee,"Science, Space, and Technology Committee",10
Armed Services Committee,Financial Services Committee,5
Foreign Affairs Committee,Homeland Security Committee,14
Energy and Commerce Committee,Environment and Public Works Committee,2
Education and the Workforce Committee,Homeland Security Committee,17
Appropriations Committee,Small Business Committee,3
Energy and Commerce Committee,Small Business Committee,6
Judiciary Committee,Small Business Committee,3
Rules Committee,Small Business Committee,1
Agriculture Committee,Homeland Security Committee,9
Agriculture Committee,Armed Services Committee,5
Armed Services Committee,Homeland Security Committee,16
Homeland Security Committee,Natural Resources Committee,7
Foreign Affairs Committee,"Science, Space, and Technology Committee",6
Agriculture Committee,Energy and Natural Resources Committee,3
Small Business Committee,Transportation and Infrastructure Committee,5
"Commerce, Science, and Transportation Committee",Natural Resources Committee,10
Committee on House Administration,Foreign Affairs Committee,3
Budget Committee,Finance Committee,2
Financial Services Committee,Veterans,2
,Committee on House Administration,1
,Ways and Means Committee,5
Committee on House Administration,Veterans,2
Energy and Natural Resources Committee,Judiciary Committee,1
Energy and Natural Resources Committee,Environment and Public Works Committee,1
Agriculture Committee,Intelligence (Permanent Select) Committee,2
Energy and Commerce Committee,Intelligence (Permanent Select) Committee,3
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,12
Homeland Security Committee,Intelligence (Permanent Select) Committee,9
Intelligence (Permanent Select) Committee,Transportation and Infrastructure Committee,5
Indian Affairs Committee,Natural Resources Committee,11
Homeland Security and Governmental Affairs Committee,Natural Resources Committee,1
Committee on House Administration,"Science, Space, and Technology Committee",2
Financial Services Committee,Homeland Security Committee,2
"Health, Education, Labor, and Pensions Committee",Ways and Means Committee,3
Armed Services Committee,Committee on House Administration,7
Committee on House Administration,Homeland Security Committee,4
,Natural Resources Committee,2
Natural Resources Committee,Veterans,4
Budget Committee,Committee on House Administration,2
"Banking, Housing, and Urban Affairs Committee",Foreign Affairs Committee,1
Education and the Workforce Committee,Intelligence (Permanent Select) Committee,2
Intelligence (Permanent Select) Committee,Oversight and Accountability Committee,8
Homeland Security and Governmental Affairs Committee,Judiciary Committee,2
Education and the Workforce Committee,Environment and Public Works Committee,1
,Agriculture Committee,1
,Education and the Workforce Committee,6
,Financial Services Committee,1
Agriculture Committee,Veterans,2
Energy and Commerce Committee,Finance Committee,3
Finance Committee,Oversight and Accountability Committee,1
Armed Services Committee,Rules Committee,3
"Commerce, Science, and Transportation Committee",Education and the Workforce Committee,2
Homeland Security and Governmental Affairs Committee,"Science, Space, and Technology Committee",2
Budget Committee,Foreign Affairs Committee,1
,Appropriations Committee,1
Homeland Security Committee,Rules and Administration Committee,1
Budget Committee,Homeland Security Committee,1
Financial Services Committee,Intelligence (Permanent Select) Committee,4
Environment and Public Works Committee,"Science, Space, and Technology Committee",3
"Banking, Housing, and Urban Affairs Committee",Committee on House Administration,2
Finance Committee,Transportation and Infrastructure Committee,1
Energy and Commerce Committee,Foreign Relations Committee,2
,Oversight and Accountability Committee,1
Budget Committee,Small Business Committee,2
"Health, Education, Labor, and Pensions Committee",Judiciary Committee,3
Appropriations Committee,"Science, Space, and Technology Committee",1
Committee on House Administration,Intelligence (Permanent Select) Committee,1
Intelligence (Permanent Select) Committee,Veterans,1
Intelligence (Permanent Select) Committee,Ways and Means Committee,1
,Small Business Committee,1
Armed Services Committee,Small Business Committee,1
Foreign Affairs Committee,Homeland Security and Governmental Affairs Committee,2
Financial Services Committee,Homeland Security and Governmental Affairs Committee,1
Natural Resources Committee,Small Business Committee,1
Budget Committee,Energy and Natural Resources Committee,1
Energy and Commerce Committee,Homeland Security and Governmental Affairs Committee,2
Armed Services Committee,Energy and Natural Resources Committee,1
Education and the Workforce Committee,Energy and Natural Resources Committee,1
Foreign Affairs Committee,Small Business Committee,1
Environment and Public Works Committee,Ways and Means Committee,1
"Commerce, Science, and Transportation Committee",Judiciary Committee,1
