committee,count
Ways and Means Committee,2351
Judiciary Committee,1836
Energy and Commerce Committee,1509
Education and the Workforce Committee,891
Oversight and Accountability Committee,843
Finance Committee,817
Natural Resources Committee,779
Foreign Affairs Committee,775
Armed Services Committee,689
"Health, Education, Labor, and Pensions Committee",591
Financial Services Committee,505
Transportation and Infrastructure Committee,504
Energy and Natural Resources Committee,502
Veterans,482
Rules Committee,368
Homeland Security and Governmental Affairs Committee,366
"Banking, Housing, and Urban Affairs Committee",280
Foreign Relations Committee,278
Agriculture Committee,272
Committee on House Administration,268
Environment and Public Works Committee,262
"Science, Space, and Technology Committee",252
"Commerce, Science, and Transportation Committee",240
Homeland Security Committee,169
"Agriculture, Nutrition, and Forestry Committee",156
Rules and Administration Committee,92
Small Business Committee,79
Budget Committee,78
Indian Affairs Committee,59
Small Business and Entrepreneurship Committee,55
Affairs Committee,51
Appropriations Committee,47
Intelligence (Permanent Select) Committee,43
Intelligence (Select) Committee,16
Ethics Committee,6
Aging (Special) Committee,2
