committee,count
Ways and Means Committee,1747
Judiciary Committee,1600
Finance Committee,1548
Energy and Commerce Committee,1478
Education and the Workforce Committee,963
Oversight and Accountability Committee,894
Natural Resources Committee,753
Financial Services Committee,671
Foreign Affairs Committee,665
Armed Services Committee,603
Transportation and Infrastructure Committee,571
"Health, Education, Labor, and Pensions Committee",533
Veterans,475
Energy and Natural Resources Committee,432
Rules Committee,364
Homeland Security and Governmental Affairs Committee,295
Committee on House Administration,289
Homeland Security Committee,243
"Banking, Housing, and Urban Affairs Committee",242
Environment and Public Works Committee,225
"Commerce, Science, and Transportation Committee",217
"Science, Space, and Technology Committee",205
Agriculture Committee,201
Foreign Relations Committee,201
Budget Committee,152
"Agriculture, Nutrition, and Forestry Committee",117
Appropriations Committee,116
Rules and Administration Committee,100
Small Business Committee,99
Small Business and Entrepreneurship Committee,58
Indian Affairs Committee,54
Intelligence (Permanent Select) Committee,45
Affairs Committee,42
Ethics Committee,21
Intelligence (Select) Committee,9
Aging (Special) Committee,1
