source,target,weight
Judiciary Committee,Natural Resources Committee,72
Foreign Affairs Committee,Natural Resources Committee,11
Appropriations Committee,Committee on House Administration,23
Foreign Affairs Committee,Judiciary Committee,91
Foreign Affairs Committee,Foreign Relations Committee,26
Committee on House Administration,Ethics Committee,2
Appropriations Committee,Education and the Workforce Committee,21
Appropriations Committee,Energy and Commerce Committee,26
Appropriations Committee,Judiciary Committee,25
Appropriations Committee,Natural Resources Committee,20
Appropriations Committee,Rules Committee,20
Appropriations Committee,Ways and Means Committee,36
Committee on House Administration,Education and the Workforce Committee,44
Committee on House Administration,Energy and Commerce Committee,43
Committee on House Administration,Judiciary Committee,49
Committee on House Administration,Natural Resources Committee,26
Committee on House Administration,Rules Committee,32
Committee on House Administration,Ways and Means Committee,50
Education and the Workforce Committee,Energy and Commerce Committee,94
Education and the Workforce Committee,Judiciary Committee,101
Education and the Workforce Committee,Natural Resources Committee,42
Education and the Workforce Committee,Rules Committee,23
Education and the Workforce Committee,Ways and Means Committee,131
Energy and Commerce Committee,Judiciary Committee,144
Energy and Commerce Committee,Natural Resources Committee,80
Energy and Commerce Committee,Rules Committee,32
Energy and Commerce Committee,Ways and Means Committee,341
Judiciary Committee,Rules Committee,43
Judiciary Committee,Ways and Means Committee,123
Natural Resources Committee,Rules Committee,26
Natural Resources Committee,Ways and Means Committee,60
Rules Committee,Ways and Means Committee,42
Armed Services Committee,Foreign Affairs Committee,41
Budget Committee,Budget Committee,6
Armed Services Committee,Judiciary Committee,37
Education and the Workforce Committee,Oversight and Accountability Committee,42
Education and the Workforce Committee,Transportation and Infrastructure Committee,27
Energy and Commerce Committee,Oversight and Accountability Committee,51
Energy and Commerce Committee,Transportation and Infrastructure Committee,80
Judiciary Committee,Oversight and Accountability Committee,87
Judiciary Committee,Transportation and Infrastructure Committee,33
Oversight and Accountability Committee,Transportation and Infrastructure Committee,28
Energy and Commerce Committee,Foreign Affairs Committee,33
Financial Services Committee,Oversight and Accountability Committee,44
Agriculture Committee,Ways and Means Committee,42
Armed Services Committee,Veterans,49
Appropriations Committee,Budget Committee,26
Budget Committee,Ways and Means Committee,46
Foreign Affairs Committee,Rules Committee,14
Committee on House Administration,Oversight and Accountability Committee,86
Energy and Natural Resources Committee,Natural Resources Committee,75
,Veterans,77
,Ways and Means Committee,9
Veterans,Ways and Means Committee,11
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,12
Financial Services Committee,Transportation and Infrastructure Committee,30
Financial Services Committee,Ways and Means Committee,55
Transportation and Infrastructure Committee,Ways and Means Committee,56
Appropriations Committee,Oversight and Accountability Committee,21
Budget Committee,Committee on House Administration,10
Budget Committee,Oversight and Accountability Committee,29
Armed Services Committee,Oversight and Accountability Committee,40
Energy and Commerce Committee,Homeland Security Committee,8
Armed Services Committee,Transportation and Infrastructure Committee,21
Natural Resources Committee,Transportation and Infrastructure Committee,60
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,84
Agriculture Committee,Judiciary Committee,31
