committee,count
Judiciary Committee,2365
Energy and Commerce Committee,2208
Ways and Means Committee,1712
Education and the Workforce Committee,1256
Oversight and Accountability Committee,992
Finance Committee,903
Financial Services Committee,872
Foreign Affairs Committee,853
"Health, Education, Labor, and Pensions Committee",834
Natural Resources Committee,812
Veterans,786
Transportation and Infrastructure Committee,783
Armed Services Committee,652
Homeland Security and Governmental Affairs Committee,533
Foreign Relations Committee,525
"Commerce, Science, and Transportation Committee",520
Committee on House Administration,412
Energy and Natural Resources Committee,405
"Banking, Housing, and Urban Affairs Committee",386
Agriculture Committee,382
"Science, Space, and Technology Committee",308
Environment and Public Works Committee,263
Homeland Security Committee,252
Rules Committee,242
Small Business Committee,229
Budget Committee,224
Appropriations Committee,187
Small Business and Entrepreneurship Committee,130
"Agriculture, Nutrition, and Forestry Committee",122
Rules and Administration Committee,121
Intelligence (Permanent Select) Committee,88
Indian Affairs Committee,86
Affairs Committee,42
Ethics Committee,23
Intelligence (Select) Committee,15
United States Senate Caucus on International Narcotics Control,1
Ethics (Select) Committee,1
Aging (Special) Committee,1
