source,target,weight
Foreign Affairs Committee,Foreign Relations Committee,63
Energy and Commerce Committee,Foreign Affairs Committee,44
Financial Services Committee,Foreign Affairs Committee,43
Financial Services Committee,Ways and Means Committee,49
Foreign Affairs Committee,Ways and Means Committee,47
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",16
Judiciary Committee,Natural Resources Committee,29
Committee on House Administration,Energy and Commerce Committee,9
Committee on House Administration,"Health, Education, Labor, and Pensions Committee",2
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",36
Judiciary Committee,Oversight and Accountability Committee,79
Energy and Commerce Committee,Environment and Public Works Committee,5
Foreign Affairs Committee,Transportation and Infrastructure Committee,15
Energy and Natural Resources Committee,Oversight and Accountability Committee,1
Armed Services Committee,Foreign Affairs Committee,92
"Health, Education, Labor, and Pensions Committee",Oversight and Accountability Committee,10
Armed Services Committee,Foreign Relations Committee,4
Homeland Security Committee,Judiciary Committee,45
Foreign Affairs Committee,Homeland Security Committee,9
Foreign Affairs Committee,Judiciary Committee,71
Committee on House Administration,Judiciary Committee,21
Committee on House Administration,Oversight and Accountability Committee,59
Committee on House Administration,Transportation and Infrastructure Committee,13
"Commerce, Science, and Transportation Committee",Oversight and Accountability Committee,3
Education and the Workforce Committee,Judiciary Committee,89
,Veterans,83
"Commerce, Science, and Transportation Committee",Natural Resources Committee,12
Natural Resources Committee,"Science, Space, and Technology Committee",59
,Affairs Committee,51
Affairs Committee,Veterans,51
Natural Resources Committee,Transportation and Infrastructure Committee,48
"Agriculture, Nutrition, and Forestry Committee",Oversight and Accountability Committee,3
"Health, Education, Labor, and Pensions Committee","Science, Space, and Technology Committee",6
Energy and Natural Resources Committee,"Science, Space, and Technology Committee",8
Judiciary Committee,"Science, Space, and Technology Committee",12
Rules and Administration Committee,Transportation and Infrastructure Committee,3
Energy and Natural Resources Committee,Natural Resources Committee,118
Oversight and Accountability Committee,"Science, Space, and Technology Committee",24
Education and the Workforce Committee,"Health, Education, Labor, and Pensions Committee",29
Environment and Public Works Committee,Transportation and Infrastructure Committee,43
Energy and Commerce Committee,Natural Resources Committee,76
Energy and Commerce Committee,"Science, Space, and Technology Committee",81
Energy and Commerce Committee,Ways and Means Committee,408
Natural Resources Committee,Ways and Means Committee,52
"Science, Space, and Technology Committee",Ways and Means Committee,46
Education and the Workforce Committee,Energy and Commerce Committee,143
Education and the Workforce Committee,Foreign Affairs Committee,14
Energy and Commerce Committee,Transportation and Infrastructure Committee,67
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,14
Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",5
Agriculture Committee,Energy and Commerce Committee,69
Agriculture Committee,Natural Resources Committee,70
"Agriculture, Nutrition, and Forestry Committee",Energy and Commerce Committee,1
"Agriculture, Nutrition, and Forestry Committee",Natural Resources Committee,2
Committee on House Administration,Homeland Security and Governmental Affairs Committee,4
Armed Services Committee,Committee on House Administration,6
Armed Services Committee,Rules and Administration Committee,2
Committee on House Administration,Rules and Administration Committee,14
Foreign Affairs Committee,Natural Resources Committee,20
Education and the Workforce Committee,Energy and Natural Resources Committee,1
Armed Services Committee,Natural Resources Committee,26
Armed Services Committee,"Science, Space, and Technology Committee",20
"Banking, Housing, and Urban Affairs Committee",Education and the Workforce Committee,3
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,77
Education and the Workforce Committee,Financial Services Committee,25
Education and the Workforce Committee,Indian Affairs Committee,1
Foreign Affairs Committee,Rules Committee,18
Agriculture Committee,Foreign Affairs Committee,25
Appropriations Committee,Budget Committee,9
Homeland Security Committee,Transportation and Infrastructure Committee,32
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,142
Intelligence (Permanent Select) Committee,Judiciary Committee,22
Judiciary Committee,Transportation and Infrastructure Committee,24
Education and the Workforce Committee,Ways and Means Committee,136
Committee on House Administration,Education and the Workforce Committee,28
Education and the Workforce Committee,Oversight and Accountability Committee,64
Rules Committee,Ways and Means Committee,44
Financial Services Committee,Judiciary Committee,42
Judiciary Committee,Ways and Means Committee,79
Energy and Commerce Committee,Judiciary Committee,117
Homeland Security and Governmental Affairs Committee,Judiciary Committee,7
Financial Services Committee,Foreign Relations Committee,2
Oversight and Accountability Committee,Ways and Means Committee,78
Budget Committee,Energy and Commerce Committee,11
Budget Committee,Financial Services Committee,9
Budget Committee,Judiciary Committee,7
Budget Committee,Transportation and Infrastructure Committee,5
Budget Committee,Ways and Means Committee,19
Energy and Commerce Committee,Financial Services Committee,40
Financial Services Committee,Transportation and Infrastructure Committee,21
Transportation and Infrastructure Committee,Ways and Means Committee,46
Foreign Relations Committee,Transportation and Infrastructure Committee,1
Committee on House Administration,Financial Services Committee,7
"Health, Education, Labor, and Pensions Committee",Ways and Means Committee,2
Armed Services Committee,Energy and Commerce Committee,35
Armed Services Committee,Small Business Committee,5
Education and the Workforce Committee,Finance Committee,2
Energy and Commerce Committee,Finance Committee,6
Finance Committee,Ways and Means Committee,18
Agriculture Committee,Transportation and Infrastructure Committee,21
Armed Services Committee,Intelligence (Permanent Select) Committee,17
Agriculture Committee,Armed Services Committee,11
Agriculture Committee,Oversight and Accountability Committee,21
Agriculture Committee,"Science, Space, and Technology Committee",22
Agriculture Committee,Ways and Means Committee,38
Armed Services Committee,Oversight and Accountability Committee,36
Armed Services Committee,Ways and Means Committee,31
Energy and Commerce Committee,Oversight and Accountability Committee,66
Natural Resources Committee,Oversight and Accountability Committee,21
Foreign Affairs Committee,Oversight and Accountability Committee,31
Small Business Committee,Ways and Means Committee,10
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,29
Judiciary Committee,Rules Committee,13
Armed Services Committee,Judiciary Committee,41
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,16
Energy and Commerce Committee,Rules Committee,26
Armed Services Committee,Education and the Workforce Committee,24
Education and the Workforce Committee,Intelligence (Permanent Select) Committee,2
Financial Services Committee,Oversight and Accountability Committee,30
Energy and Natural Resources Committee,Judiciary Committee,1
Financial Services Committee,Natural Resources Committee,8
"Commerce, Science, and Transportation Committee",Homeland Security Committee,8
Budget Committee,Rules Committee,37
Environment and Public Works Committee,Natural Resources Committee,10
Foreign Affairs Committee,Small Business Committee,4
Budget Committee,Education and the Workforce Committee,11
Education and the Workforce Committee,Rules Committee,14
Committee on House Administration,Foreign Affairs Committee,2
Armed Services Committee,Homeland Security Committee,12
Armed Services Committee,Transportation and Infrastructure Committee,16
Appropriations Committee,Energy and Commerce Committee,1
Agriculture Committee,Education and the Workforce Committee,26
Agriculture Committee,Financial Services Committee,13
Education and the Workforce Committee,Natural Resources Committee,27
Education and the Workforce Committee,"Science, Space, and Technology Committee",22
Education and the Workforce Committee,Transportation and Infrastructure Committee,20
Financial Services Committee,"Science, Space, and Technology Committee",8
Foreign Affairs Committee,"Science, Space, and Technology Committee",15
Committee on House Administration,Veterans,3
Rules and Administration Committee,Veterans,2
Committee on House Administration,Ways and Means Committee,12
Appropriations Committee,Education and the Workforce Committee,1
Agriculture Committee,Judiciary Committee,26
Homeland Security and Governmental Affairs Committee,"Science, Space, and Technology Committee",1
Oversight and Accountability Committee,Transportation and Infrastructure Committee,25
Armed Services Committee,Veterans,50
Veterans,Ways and Means Committee,7
Agriculture Committee,Homeland Security Committee,6
Homeland Security Committee,Ways and Means Committee,13
Environment and Public Works Committee,"Science, Space, and Technology Committee",3
Financial Services Committee,Small Business Committee,5
Small Business Committee,Transportation and Infrastructure Committee,6
"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,17
Finance Committee,Judiciary Committee,3
Energy and Commerce Committee,Veterans,5
Judiciary Committee,Veterans,5
Armed Services Committee,Rules Committee,10
,Ways and Means Committee,1
Affairs Committee,Ways and Means Committee,1
Agriculture Committee,Budget Committee,5
Agriculture Committee,Rules Committee,3
Armed Services Committee,Budget Committee,3
Budget Committee,Natural Resources Committee,8
Budget Committee,"Science, Space, and Technology Committee",4
