source,target,weight
Foreign Affairs Committee,Foreign Relations Committee,46
Foreign Affairs Committee,Judiciary Committee,42
Foreign Affairs Committee,Ways and Means Committee,29
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",21
Education and the Workforce Committee,Foreign Affairs Committee,11
Judiciary Committee,Oversight and Accountability Committee,48
Judiciary Committee,Judiciary Committee,51
Agriculture Committee,Education and the Workforce Committee,20
Agriculture Committee,Energy and Commerce Committee,31
Agriculture Committee,Finance Committee,1
Agriculture Committee,Financial Services Committee,21
Agriculture Committee,Ways and Means Committee,23
Education and the Workforce Committee,Energy and Commerce Committee,131
Education and the Workforce Committee,Finance Committee,1
Education and the Workforce Committee,Financial Services Committee,25
Education and the Workforce Committee,Ways and Means Committee,106
Energy and Commerce Committee,Finance Committee,2
Energy and Commerce Committee,Financial Services Committee,49
Energy and Commerce Committee,Ways and Means Committee,327
Finance Committee,Financial Services Committee,1
Finance Committee,Ways and Means Committee,10
Financial Services Committee,Ways and Means Committee,43
Education and the Workforce Committee,Oversight and Accountability Committee,39
Financial Services Committee,Foreign Affairs Committee,45
Financial Services Committee,Oversight and Accountability Committee,19
Foreign Affairs Committee,Oversight and Accountability Committee,15
Armed Services Committee,Foreign Affairs Committee,43
Armed Services Committee,Armed Services Committee,10
Natural Resources Committee,"Science, Space, and Technology Committee",34
"Health, Education, Labor, and Pensions Committee",Oversight and Accountability Committee,3
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,6
Education and the Workforce Committee,"Health, Education, Labor, and Pensions Committee",19
"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,9
Energy and Commerce Committee,Transportation and Infrastructure Committee,64
"Commerce, Science, and Transportation Committee",Homeland Security Committee,2
Energy and Commerce Committee,Judiciary Committee,105
Education and the Workforce Committee,Judiciary Committee,64
Energy and Commerce Committee,Foreign Affairs Committee,40
,Affairs Committee,16
,Veterans,49
Affairs Committee,Veterans,16
Judiciary Committee,"Science, Space, and Technology Committee",4
Armed Services Committee,Education and the Workforce Committee,19
Judiciary Committee,Transportation and Infrastructure Committee,29
Foreign Affairs Committee,Transportation and Infrastructure Committee,10
Natural Resources Committee,Transportation and Infrastructure Committee,48
Armed Services Committee,Oversight and Accountability Committee,29
Armed Services Committee,Transportation and Infrastructure Committee,17
Oversight and Accountability Committee,Transportation and Infrastructure Committee,21
Finance Committee,Foreign Affairs Committee,1
Finance Committee,Foreign Relations Committee,1
Foreign Relations Committee,Ways and Means Committee,1
Foreign Affairs Committee,Homeland Security Committee,16
Homeland Security Committee,Judiciary Committee,41
"Agriculture, Nutrition, and Forestry Committee",Oversight and Accountability Committee,1
,Armed Services Committee,3
Affairs Committee,Armed Services Committee,1
Armed Services Committee,Veterans,26
Agriculture Committee,Natural Resources Committee,62
Energy and Commerce Committee,Natural Resources Committee,40
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",8
"Commerce, Science, and Transportation Committee",Oversight and Accountability Committee,3
Environment and Public Works Committee,Transportation and Infrastructure Committee,21
Intelligence (Permanent Select) Committee,Judiciary Committee,28
Judiciary Committee,Rules Committee,10
Energy and Natural Resources Committee,Natural Resources Committee,153
Energy and Commerce Committee,"Science, Space, and Technology Committee",32
Financial Services Committee,Judiciary Committee,36
Energy and Commerce Committee,Homeland Security Committee,34
Judiciary Committee,Natural Resources Committee,14
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,105
Armed Services Committee,Ways and Means Committee,23
Financial Services Committee,Small Business Committee,4
Foreign Affairs Committee,Small Business Committee,4
Small Business Committee,Ways and Means Committee,9
"Commerce, Science, and Transportation Committee",Natural Resources Committee,2
Judiciary Committee,Small Business Committee,3
Energy and Commerce Committee,Rules Committee,6
Budget Committee,Rules Committee,17
Budget Committee,Ways and Means Committee,15
Rules Committee,Ways and Means Committee,19
"Science, Space, and Technology Committee",Ways and Means Committee,24
Foreign Affairs Committee,Natural Resources Committee,6
Judiciary Committee,Ways and Means Committee,53
Energy and Commerce Committee,Oversight and Accountability Committee,49
Oversight and Accountability Committee,"Science, Space, and Technology Committee",5
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,22
Armed Services Committee,Intelligence (Permanent Select) Committee,9
Education and the Workforce Committee,Intelligence (Permanent Select) Committee,4
Committee on House Administration,Ways and Means Committee,7
Agriculture Committee,Budget Committee,5
Natural Resources Committee,Oversight and Accountability Committee,8
Natural Resources Committee,Ways and Means Committee,41
Oversight and Accountability Committee,Ways and Means Committee,45
,Natural Resources Committee,2
,Ways and Means Committee,5
Natural Resources Committee,Veterans,3
Veterans,Ways and Means Committee,11
Agriculture Committee,Transportation and Infrastructure Committee,14
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,43
Committee on House Administration,Rules and Administration Committee,5
Armed Services Committee,Budget Committee,2
Armed Services Committee,Energy and Commerce Committee,28
Armed Services Committee,Financial Services Committee,6
Armed Services Committee,Homeland Security Committee,14
Armed Services Committee,Judiciary Committee,25
Armed Services Committee,Rules Committee,5
Budget Committee,Energy and Commerce Committee,5
Budget Committee,Financial Services Committee,5
Budget Committee,Foreign Affairs Committee,1
Budget Committee,Homeland Security Committee,4
Budget Committee,Intelligence (Permanent Select) Committee,3
Budget Committee,Judiciary Committee,4
Budget Committee,Oversight and Accountability Committee,6
Budget Committee,Transportation and Infrastructure Committee,8
Energy and Commerce Committee,Intelligence (Permanent Select) Committee,6
Financial Services Committee,Homeland Security Committee,7
Financial Services Committee,Intelligence (Permanent Select) Committee,4
Financial Services Committee,Rules Committee,1
Financial Services Committee,Transportation and Infrastructure Committee,19
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,8
Foreign Affairs Committee,Rules Committee,7
Homeland Security Committee,Intelligence (Permanent Select) Committee,9
Homeland Security Committee,Oversight and Accountability Committee,15
Homeland Security Committee,Rules Committee,1
Homeland Security Committee,Transportation and Infrastructure Committee,43
Homeland Security Committee,Ways and Means Committee,14
Intelligence (Permanent Select) Committee,Oversight and Accountability Committee,9
Intelligence (Permanent Select) Committee,Rules Committee,2
Intelligence (Permanent Select) Committee,Transportation and Infrastructure Committee,4
Intelligence (Permanent Select) Committee,Ways and Means Committee,2
Oversight and Accountability Committee,Rules Committee,17
Rules Committee,Transportation and Infrastructure Committee,4
Transportation and Infrastructure Committee,Ways and Means Committee,30
Committee on House Administration,Energy and Commerce Committee,4
Committee on House Administration,Foreign Affairs Committee,1
Committee on House Administration,Homeland Security Committee,1
Committee on House Administration,Judiciary Committee,9
Committee on House Administration,Transportation and Infrastructure Committee,5
Energy and Commerce Committee,Small Business Committee,8
Committee on House Administration,Education and the Workforce Committee,9
Committee on House Administration,Oversight and Accountability Committee,33
Education and the Workforce Committee,"Science, Space, and Technology Committee",12
Budget Committee,Education and the Workforce Committee,6
Education and the Workforce Committee,Transportation and Infrastructure Committee,14
Environment and Public Works Committee,Natural Resources Committee,20
Transportation and Infrastructure Committee,Veterans,1
Financial Services Committee,Natural Resources Committee,6
"Health, Education, Labor, and Pensions Committee",Transportation and Infrastructure Committee,3
Homeland Security Committee,Homeland Security and Governmental Affairs Committee,7
"Science, Space, and Technology Committee",Small Business Committee,3
Agriculture Committee,"Science, Space, and Technology Committee",9
Appropriations Committee,Ways and Means Committee,2
