committee,count
Judiciary Committee,2068
Energy and Commerce Committee,1725
Ways and Means Committee,1499
Education and the Workforce Committee,921
Oversight and Accountability Committee,882
Natural Resources Committee,830
Foreign Affairs Committee,715
Financial Services Committee,677
Finance Committee,649
Veterans,635
Transportation and Infrastructure Committee,581
"Health, Education, Labor, and Pensions Committee",516
Energy and Natural Resources Committee,500
Armed Services Committee,497
Homeland Security and Governmental Affairs Committee,450
Agriculture Committee,353
Foreign Relations Committee,345
"Commerce, Science, and Transportation Committee",343
Committee on House Administration,328
"Banking, Housing, and Urban Affairs Committee",311
Homeland Security Committee,305
Rules Committee,290
"Science, Space, and Technology Committee",232
Environment and Public Works Committee,220
"Agriculture, Nutrition, and Forestry Committee",152
Budget Committee,144
Appropriations Committee,122
Small Business Committee,108
Rules and Administration Committee,93
Intelligence (Permanent Select) Committee,92
Affairs Committee,70
Indian Affairs Committee,68
Small Business and Entrepreneurship Committee,64
Intelligence (Select) Committee,9
Ethics Committee,8
Aging (Special) Committee,4
