source,target,weight
Agriculture Committee,Foreign Affairs Committee,30
Agriculture Committee,Ways and Means Committee,48
Energy and Commerce Committee,Foreign Affairs Committee,88
Education and the Workforce Committee,Energy and Commerce Committee,212
Education and the Workforce Committee,Judiciary Committee,164
Education and the Workforce Committee,Oversight and Accountability Committee,86
Education and the Workforce Committee,Transportation and Infrastructure Committee,54
Energy and Commerce Committee,Judiciary Committee,207
Energy and Commerce Committee,Oversight and Accountability Committee,98
Energy and Commerce Committee,Transportation and Infrastructure Committee,143
Judiciary Committee,Oversight and Accountability Committee,135
Judiciary Committee,Transportation and Infrastructure Committee,56
Oversight and Accountability Committee,Transportation and Infrastructure Committee,32
Financial Services Committee,Foreign Affairs Committee,86
Energy and Commerce Committee,Ways and Means Committee,556
Foreign Affairs Committee,Judiciary Committee,167
Education and the Workforce Committee,Foreign Affairs Committee,32
Education and the Workforce Committee,"Science, Space, and Technology Committee",38
Education and the Workforce Committee,Ways and Means Committee,237
Energy and Commerce Committee,"Science, Space, and Technology Committee",87
Foreign Affairs Committee,Oversight and Accountability Committee,47
Foreign Affairs Committee,"Science, Space, and Technology Committee",33
Foreign Affairs Committee,Ways and Means Committee,83
Oversight and Accountability Committee,"Science, Space, and Technology Committee",24
Oversight and Accountability Committee,Ways and Means Committee,113
"Science, Space, and Technology Committee",Ways and Means Committee,33
Armed Services Committee,Foreign Affairs Committee,76
Armed Services Committee,Natural Resources Committee,26
Armed Services Committee,Oversight and Accountability Committee,51
Foreign Affairs Committee,Natural Resources Committee,33
Natural Resources Committee,Oversight and Accountability Committee,24
Foreign Affairs Committee,Foreign Relations Committee,71
Committee on House Administration,Judiciary Committee,76
Rules Committee,Ways and Means Committee,32
Homeland Security Committee,Judiciary Committee,85
Foreign Affairs Committee,Rules Committee,19
Armed Services Committee,Veterans,47
Judiciary Committee,Judiciary Committee,50
Armed Services Committee,Transportation and Infrastructure Committee,26
,Affairs Committee,42
,Veterans,151
Affairs Committee,Veterans,42
Energy and Commerce Committee,Environment and Public Works Committee,4
Environment and Public Works Committee,Transportation and Infrastructure Committee,19
Committee on House Administration,Oversight and Accountability Committee,105
Committee on House Administration,Rules Committee,23
Oversight and Accountability Committee,Rules Committee,34
Transportation and Infrastructure Committee,Ways and Means Committee,77
Agriculture Committee,Energy and Commerce Committee,91
Agriculture Committee,"Science, Space, and Technology Committee",21
Agriculture Committee,Transportation and Infrastructure Committee,44
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,45
Education and the Workforce Committee,Financial Services Committee,84
Financial Services Committee,Judiciary Committee,125
Financial Services Committee,Ways and Means Committee,122
Judiciary Committee,Ways and Means Committee,159
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,67
"Banking, Housing, and Urban Affairs Committee",Judiciary Committee,1
Energy and Commerce Committee,Homeland Security Committee,40
Homeland Security Committee,Transportation and Infrastructure Committee,27
Finance Committee,Ways and Means Committee,9
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",41
Armed Services Committee,Energy and Commerce Committee,68
Armed Services Committee,Judiciary Committee,54
Armed Services Committee,"Science, Space, and Technology Committee",27
Judiciary Committee,"Science, Space, and Technology Committee",32
Agriculture Committee,Armed Services Committee,14
Agriculture Committee,Committee on House Administration,9
Agriculture Committee,Education and the Workforce Committee,49
Agriculture Committee,Financial Services Committee,47
Agriculture Committee,Judiciary Committee,42
Agriculture Committee,Natural Resources Committee,107
Agriculture Committee,Oversight and Accountability Committee,17
Armed Services Committee,Committee on House Administration,10
Armed Services Committee,Education and the Workforce Committee,41
Armed Services Committee,Financial Services Committee,24
Armed Services Committee,Ways and Means Committee,47
Committee on House Administration,Education and the Workforce Committee,57
Committee on House Administration,Energy and Commerce Committee,25
Committee on House Administration,Financial Services Committee,49
Committee on House Administration,Natural Resources Committee,15
Committee on House Administration,Ways and Means Committee,47
Education and the Workforce Committee,Natural Resources Committee,45
Energy and Commerce Committee,Financial Services Committee,95
Energy and Commerce Committee,Natural Resources Committee,125
Financial Services Committee,Natural Resources Committee,27
Financial Services Committee,Oversight and Accountability Committee,59
Judiciary Committee,Natural Resources Committee,61
Natural Resources Committee,Ways and Means Committee,45
Small Business Committee,Small Business and Entrepreneurship Committee,29
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,92
Homeland Security and Governmental Affairs Committee,Transportation and Infrastructure Committee,13
Foreign Affairs Committee,Homeland Security Committee,24
Appropriations Committee,Financial Services Committee,6
Energy and Natural Resources Committee,Natural Resources Committee,34
Education and the Workforce Committee,Small Business Committee,22
Energy and Commerce Committee,Small Business Committee,17
