committee,count
Judiciary Committee,1725
Energy and Commerce Committee,1406
Ways and Means Committee,1389
Education and the Workforce Committee,810
Finance Committee,728
Oversight and Accountability Committee,642
Natural Resources Committee,621
Veterans,608
Foreign Affairs Committee,557
Financial Services Committee,543
"Health, Education, Labor, and Pensions Committee",540
Transportation and Infrastructure Committee,513
Energy and Natural Resources Committee,439
Armed Services Committee,433
Homeland Security and Governmental Affairs Committee,380
"Commerce, Science, and Transportation Committee",301
Foreign Relations Committee,274
Committee on House Administration,267
Rules Committee,266
"Banking, Housing, and Urban Affairs Committee",263
Agriculture Committee,224
Environment and Public Works Committee,214
Homeland Security Committee,193
"Science, Space, and Technology Committee",180
Budget Committee,169
Appropriations Committee,135
Small Business and Entrepreneurship Committee,83
Small Business Committee,77
Rules and Administration Committee,75
Indian Affairs Committee,75
"Agriculture, Nutrition, and Forestry Committee",72
Intelligence (Permanent Select) Committee,50
Affairs Committee,43
Intelligence (Select) Committee,10
United States Senate Caucus on International Narcotics Control,2
Ethics Committee,2
Aging (Special) Committee,2
