committee,count
Judiciary Committee,1433
Ways and Means Committee,1349
Energy and Commerce Committee,1148
Education and the Workforce Committee,753
Natural Resources Committee,711
Oversight and Accountability Committee,669
Finance Committee,569
Veterans,527
Foreign Affairs Committee,516
Financial Services Committee,513
"Health, Education, Labor, and Pensions Committee",508
Armed Services Committee,481
Transportation and Infrastructure Committee,454
Energy and Natural Resources Committee,392
Agriculture Committee,273
Committee on House Administration,269
Homeland Security and Governmental Affairs Committee,265
Rules Committee,257
"Commerce, Science, and Transportation Committee",243
Foreign Relations Committee,228
Appropriations Committee,224
"Banking, Housing, and Urban Affairs Committee",222
Environment and Public Works Committee,209
Budget Committee,208
"Science, Space, and Technology Committee",150
Homeland Security Committee,130
Rules and Administration Committee,88
"Agriculture, Nutrition, and Forestry Committee",77
Small Business Committee,72
Intelligence (Permanent Select) Committee,62
Indian Affairs Committee,60
Small Business and Entrepreneurship Committee,31
Affairs Committee,25
Intelligence (Select) Committee,13
United States Senate Caucus on International Narcotics Control,4
Ethics Committee,2
Aging (Special) Committee,2
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),1
