source,target,weight
Energy and Commerce Committee,Judiciary Committee,104
Foreign Affairs Committee,Foreign Relations Committee,30
Committee on House Administration,Oversight and Accountability Committee,25
Judiciary Committee,Judiciary Committee,16
Energy and Commerce Committee,Natural Resources Committee,47
Energy and Commerce Committee,Transportation and Infrastructure Committee,42
Natural Resources Committee,Transportation and Infrastructure Committee,30
Foreign Affairs Committee,Judiciary Committee,57
Foreign Relations Committee,Judiciary Committee,10
Finance Committee,Ways and Means Committee,9
Financial Services Committee,Judiciary Committee,43
Energy and Commerce Committee,Foreign Affairs Committee,36
Agriculture Committee,Ways and Means Committee,22
Rules Committee,Ways and Means Committee,16
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,18
Committee on House Administration,Rules and Administration Committee,3
Finance Committee,Transportation and Infrastructure Committee,1
Education and the Workforce Committee,Veterans,12
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,29
,Affairs Committee,13
,Veterans,51
Affairs Committee,Veterans,13
Energy and Commerce Committee,Ways and Means Committee,251
Financial Services Committee,Transportation and Infrastructure Committee,28
Financial Services Committee,Foreign Relations Committee,8
Armed Services Committee,Foreign Affairs Committee,20
Natural Resources Committee,"Science, Space, and Technology Committee",11
Small Business Committee,Small Business and Entrepreneurship Committee,15
Armed Services Committee,Natural Resources Committee,15
Homeland Security and Governmental Affairs Committee,Transportation and Infrastructure Committee,5
Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",2
Agriculture Committee,Natural Resources Committee,79
"Agriculture, Nutrition, and Forestry Committee",Natural Resources Committee,2
Financial Services Committee,Foreign Affairs Committee,41
Financial Services Committee,Ways and Means Committee,34
Foreign Affairs Committee,Ways and Means Committee,31
Judiciary Committee,Ways and Means Committee,54
Budget Committee,Education and the Workforce Committee,8
Budget Committee,Energy and Commerce Committee,12
Budget Committee,Financial Services Committee,9
Budget Committee,Natural Resources Committee,10
Budget Committee,Transportation and Infrastructure Committee,13
Budget Committee,Ways and Means Committee,14
Education and the Workforce Committee,Energy and Commerce Committee,101
Education and the Workforce Committee,Financial Services Committee,28
Education and the Workforce Committee,Natural Resources Committee,19
Education and the Workforce Committee,Transportation and Infrastructure Committee,24
Education and the Workforce Committee,Ways and Means Committee,65
Energy and Commerce Committee,Financial Services Committee,44
Financial Services Committee,Natural Resources Committee,12
Natural Resources Committee,Ways and Means Committee,16
Transportation and Infrastructure Committee,Ways and Means Committee,25
Energy and Commerce Committee,"Science, Space, and Technology Committee",21
Budget Committee,Judiciary Committee,14
Judiciary Committee,Natural Resources Committee,22
Foreign Affairs Committee,Rules Committee,13
Budget Committee,Rules Committee,18
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",6
Education and the Workforce Committee,"Health, Education, Labor, and Pensions Committee",5
"Health, Education, Labor, and Pensions Committee",Ways and Means Committee,2
Environment and Public Works Committee,Transportation and Infrastructure Committee,11
Committee on House Administration,Education and the Workforce Committee,11
Education and the Workforce Committee,Judiciary Committee,47
Judiciary Committee,"Science, Space, and Technology Committee",9
Judiciary Committee,Transportation and Infrastructure Committee,25
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,15
Homeland Security Committee,Homeland Security and Governmental Affairs Committee,7
,Oversight and Accountability Committee,8
,Ways and Means Committee,11
Oversight and Accountability Committee,Veterans,14
Oversight and Accountability Committee,Ways and Means Committee,33
Veterans,Ways and Means Committee,17
Energy and Commerce Committee,Homeland Security Committee,12
Homeland Security Committee,Judiciary Committee,32
Indian Affairs Committee,Natural Resources Committee,5
,Armed Services Committee,11
Armed Services Committee,Veterans,17
Armed Services Committee,Ways and Means Committee,23
Homeland Security Committee,Oversight and Accountability Committee,12
"Banking, Housing, and Urban Affairs Committee",Energy and Commerce Committee,1
"Banking, Housing, and Urban Affairs Committee",Judiciary Committee,6
Homeland Security Committee,Transportation and Infrastructure Committee,15
"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,11
Agriculture Committee,Financial Services Committee,17
Committee on House Administration,Financial Services Committee,13
Agriculture Committee,Oversight and Accountability Committee,14
Natural Resources Committee,Oversight and Accountability Committee,24
Agriculture Committee,Environment and Public Works Committee,1
Environment and Public Works Committee,Natural Resources Committee,3
Agriculture Committee,Transportation and Infrastructure Committee,21
Budget Committee,Oversight and Accountability Committee,15
Judiciary Committee,Oversight and Accountability Committee,40
Armed Services Committee,Oversight and Accountability Committee,18
Agriculture Committee,Energy and Commerce Committee,36
Homeland Security Committee,Intelligence (Permanent Select) Committee,7
Intelligence (Permanent Select) Committee,Judiciary Committee,13
Agriculture Committee,Education and the Workforce Committee,22
Agriculture Committee,Judiciary Committee,16
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",7
"Science, Space, and Technology Committee",Ways and Means Committee,9
Agriculture Committee,Budget Committee,9
Foreign Affairs Committee,Transportation and Infrastructure Committee,14
Rules Committee,Transportation and Infrastructure Committee,7
"Commerce, Science, and Transportation Committee",Natural Resources Committee,2
Energy and Natural Resources Committee,Natural Resources Committee,14
Armed Services Committee,Energy and Commerce Committee,20
Armed Services Committee,Homeland Security Committee,5
Armed Services Committee,Judiciary Committee,16
Finance Committee,Homeland Security Committee,1
Homeland Security Committee,Ways and Means Committee,17
Energy and Commerce Committee,Oversight and Accountability Committee,22
Homeland Security and Governmental Affairs Committee,Judiciary Committee,2
Education and the Workforce Committee,Homeland Security Committee,10
Budget Committee,Small Business Committee,3
Small Business Committee,Transportation and Infrastructure Committee,8
"Banking, Housing, and Urban Affairs Committee",Foreign Affairs Committee,6
"Banking, Housing, and Urban Affairs Committee",Oversight and Accountability Committee,3
"Banking, Housing, and Urban Affairs Committee",Ways and Means Committee,1
Financial Services Committee,Oversight and Accountability Committee,25
Foreign Affairs Committee,Oversight and Accountability Committee,23
Homeland Security and Governmental Affairs Committee,Ways and Means Committee,1
Committee on House Administration,Judiciary Committee,13
Committee on House Administration,Ways and Means Committee,11
Budget Committee,Committee on House Administration,4
Committee on House Administration,Homeland Security Committee,5
Committee on House Administration,Natural Resources Committee,3
Committee on House Administration,"Science, Space, and Technology Committee",3
Financial Services Committee,Homeland Security Committee,5
Financial Services Committee,"Science, Space, and Technology Committee",6
Homeland Security Committee,Natural Resources Committee,5
Homeland Security Committee,"Science, Space, and Technology Committee",5
Oversight and Accountability Committee,"Science, Space, and Technology Committee",9
"Banking, Housing, and Urban Affairs Committee",Transportation and Infrastructure Committee,2
Appropriations Committee,Budget Committee,14
Armed Services Committee,"Science, Space, and Technology Committee",7
Natural Resources Committee,Veterans,14
"Banking, Housing, and Urban Affairs Committee",Small Business Committee,1
Environment and Public Works Committee,Judiciary Committee,1
Environment and Public Works Committee,Oversight and Accountability Committee,1
Oversight and Accountability Committee,Transportation and Infrastructure Committee,16
Financial Services Committee,Rules Committee,10
Judiciary Committee,Rules Committee,16
Foreign Affairs Committee,Natural Resources Committee,10
Agriculture Committee,Armed Services Committee,8
Agriculture Committee,Intelligence (Permanent Select) Committee,3
Armed Services Committee,Intelligence (Permanent Select) Committee,5
Armed Services Committee,Transportation and Infrastructure Committee,11
Intelligence (Permanent Select) Committee,Natural Resources Committee,3
Intelligence (Permanent Select) Committee,Transportation and Infrastructure Committee,4
Agriculture Committee,Energy and Natural Resources Committee,4
Armed Services Committee,Education and the Workforce Committee,11
Armed Services Committee,Financial Services Committee,7
Armed Services Committee,Small Business Committee,3
Education and the Workforce Committee,Foreign Affairs Committee,14
Education and the Workforce Committee,Intelligence (Permanent Select) Committee,4
Education and the Workforce Committee,Oversight and Accountability Committee,21
Education and the Workforce Committee,"Science, Space, and Technology Committee",5
Education and the Workforce Committee,Small Business Committee,5
Energy and Commerce Committee,Intelligence (Permanent Select) Committee,3
Energy and Commerce Committee,Small Business Committee,5
Energy and Commerce Committee,Veterans,12
Financial Services Committee,Intelligence (Permanent Select) Committee,4
Financial Services Committee,Small Business Committee,5
Financial Services Committee,Veterans,6
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,7
Foreign Affairs Committee,"Science, Space, and Technology Committee",5
Foreign Affairs Committee,Small Business Committee,3
Foreign Affairs Committee,Veterans,7
Intelligence (Permanent Select) Committee,Oversight and Accountability Committee,8
Intelligence (Permanent Select) Committee,"Science, Space, and Technology Committee",2
Intelligence (Permanent Select) Committee,Small Business Committee,1
Intelligence (Permanent Select) Committee,Veterans,1
Judiciary Committee,Small Business Committee,7
Judiciary Committee,Veterans,10
Natural Resources Committee,Small Business Committee,5
Oversight and Accountability Committee,Small Business Committee,7
"Science, Space, and Technology Committee",Small Business Committee,2
"Science, Space, and Technology Committee",Veterans,2
Small Business Committee,Veterans,4
Transportation and Infrastructure Committee,Veterans,6
Energy and Natural Resources Committee,"Science, Space, and Technology Committee",7
Committee on House Administration,Energy and Commerce Committee,5
,Foreign Affairs Committee,2
,Judiciary Committee,4
,Natural Resources Committee,4
,Education and the Workforce Committee,5
,Homeland Security Committee,1
Homeland Security Committee,Veterans,3
Agriculture Committee,Foreign Affairs Committee,6
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,3
Agriculture Committee,Appropriations Committee,5
Agriculture Committee,Homeland Security Committee,4
Agriculture Committee,Rules Committee,3
Agriculture Committee,Small Business Committee,4
Agriculture Committee,Veterans,6
Appropriations Committee,Education and the Workforce Committee,5
Appropriations Committee,Energy and Commerce Committee,4
Appropriations Committee,Financial Services Committee,2
Appropriations Committee,Homeland Security Committee,1
Appropriations Committee,Judiciary Committee,3
Appropriations Committee,Natural Resources Committee,4
Appropriations Committee,Rules Committee,2
Appropriations Committee,Small Business Committee,1
Appropriations Committee,Transportation and Infrastructure Committee,3
Appropriations Committee,Veterans,2
Appropriations Committee,Ways and Means Committee,5
Budget Committee,Homeland Security Committee,2
Budget Committee,Veterans,1
Education and the Workforce Committee,Rules Committee,5
Energy and Commerce Committee,Rules Committee,8
Homeland Security Committee,Rules Committee,2
Homeland Security Committee,Small Business Committee,2
Natural Resources Committee,Rules Committee,3
Rules Committee,Small Business Committee,2
Rules Committee,Veterans,1
Small Business Committee,Ways and Means Committee,4
Oversight and Accountability Committee,Rules Committee,16
Committee on House Administration,Intelligence (Permanent Select) Committee,5
,Financial Services Committee,3
Agriculture Committee,"Science, Space, and Technology Committee",7
Armed Services Committee,Foreign Relations Committee,1
Committee on House Administration,Veterans,2
Foreign Affairs Committee,Homeland Security Committee,10
Armed Services Committee,Budget Committee,3
Budget Committee,Foreign Affairs Committee,4
Budget Committee,Intelligence (Permanent Select) Committee,2
Intelligence (Permanent Select) Committee,Ways and Means Committee,5
,"Science, Space, and Technology Committee",1
Armed Services Committee,Rules Committee,4
Energy and Commerce Committee,Environment and Public Works Committee,3
"Banking, Housing, and Urban Affairs Committee",Education and the Workforce Committee,1
Energy and Natural Resources Committee,Small Business Committee,1
Energy and Commerce Committee,Energy and Natural Resources Committee,3
Budget Committee,"Science, Space, and Technology Committee",1
Education and the Workforce Committee,Foreign Relations Committee,1
Financial Services Committee,Homeland Security and Governmental Affairs Committee,1
Homeland Security and Governmental Affairs Committee,Small Business Committee,1
,Energy and Commerce Committee,3
Energy and Commerce Committee,Finance Committee,3
,Transportation and Infrastructure Committee,3
Committee on House Administration,Transportation and Infrastructure Committee,3
Environment and Public Works Committee,Foreign Affairs Committee,1
