source,target,weight
Foreign Affairs Committee,Foreign Relations Committee,47
Agriculture Committee,Ways and Means Committee,35
Education and the Workforce Committee,Energy and Commerce Committee,89
Education and the Workforce Committee,Judiciary Committee,92
Education and the Workforce Committee,Transportation and Infrastructure Committee,18
Energy and Commerce Committee,Judiciary Committee,144
Energy and Commerce Committee,Transportation and Infrastructure Committee,83
Judiciary Committee,Transportation and Infrastructure Committee,31
Committee on House Administration,Energy and Commerce Committee,22
Committee on House Administration,Finance Committee,1
Energy and Commerce Committee,Finance Committee,26
Energy and Commerce Committee,Foreign Affairs Committee,43
Armed Services Committee,Veterans,59
Agriculture Committee,Education and the Workforce Committee,16
Education and the Workforce Committee,Ways and Means Committee,132
Committee on House Administration,Transportation and Infrastructure Committee,9
Foreign Affairs Committee,Judiciary Committee,94
Foreign Affairs Committee,Natural Resources Committee,16
Judiciary Committee,Natural Resources Committee,38
Appropriations Committee,Committee on House Administration,13
Financial Services Committee,Ways and Means Committee,66
Rules Committee,Ways and Means Committee,36
Armed Services Committee,Foreign Affairs Committee,48
Judiciary Committee,Oversight and Accountability Committee,97
Homeland Security Committee,Judiciary Committee,51
Education and the Workforce Committee,Energy and Natural Resources Committee,4
Finance Committee,Ways and Means Committee,44
Armed Services Committee,Budget Committee,8
Armed Services Committee,Energy and Commerce Committee,34
Armed Services Committee,Ways and Means Committee,30
Budget Committee,Energy and Commerce Committee,32
Budget Committee,Ways and Means Committee,42
Energy and Commerce Committee,Ways and Means Committee,372
Foreign Affairs Committee,Intelligence (Permanent Select) Committee,19
Education and the Workforce Committee,Oversight and Accountability Committee,45
Energy and Commerce Committee,Oversight and Accountability Committee,49
Oversight and Accountability Committee,Transportation and Infrastructure Committee,18
Appropriations Committee,Budget Committee,19
Financial Services Committee,Foreign Affairs Committee,53
Financial Services Committee,Judiciary Committee,68
Financial Services Committee,Oversight and Accountability Committee,48
Foreign Affairs Committee,Oversight and Accountability Committee,32
Foreign Affairs Committee,Ways and Means Committee,49
Judiciary Committee,Ways and Means Committee,120
Oversight and Accountability Committee,Ways and Means Committee,69
Foreign Affairs Committee,Rules Committee,16
Homeland Security and Governmental Affairs Committee,Oversight and Accountability Committee,93
Committee on House Administration,Financial Services Committee,25
Budget Committee,Education and the Workforce Committee,21
,Affairs Committee,43
,Veterans,105
Affairs Committee,Veterans,43
Homeland Security Committee,Transportation and Infrastructure Committee,23
"Banking, Housing, and Urban Affairs Committee",Financial Services Committee,65
"Banking, Housing, and Urban Affairs Committee",Foreign Affairs Committee,5
Energy and Commerce Committee,Environment and Public Works Committee,8
Armed Services Committee,Homeland Security Committee,11
Armed Services Committee,Transportation and Infrastructure Committee,10
,Oversight and Accountability Committee,4
Affairs Committee,Oversight and Accountability Committee,2
Oversight and Accountability Committee,Veterans,7
Education and the Workforce Committee,Veterans,13
Natural Resources Committee,Transportation and Infrastructure Committee,51
Committee on House Administration,Oversight and Accountability Committee,62
Homeland Security and Governmental Affairs Committee,Judiciary Committee,11
Natural Resources Committee,"Science, Space, and Technology Committee",21
Energy and Commerce Committee,Financial Services Committee,35
Committee on House Administration,Natural Resources Committee,13
Energy and Commerce Committee,Natural Resources Committee,62
Committee on House Administration,Education and the Workforce Committee,33
Committee on House Administration,Judiciary Committee,40
"Commerce, Science, and Transportation Committee","Science, Space, and Technology Committee",16
Committee on House Administration,Rules Committee,24
"Commerce, Science, and Transportation Committee",Transportation and Infrastructure Committee,13
Energy and Natural Resources Committee,Natural Resources Committee,42
Financial Services Committee,Transportation and Infrastructure Committee,19
Intelligence (Permanent Select) Committee,Judiciary Committee,23
Budget Committee,Finance Committee,1
Energy and Natural Resources Committee,Oversight and Accountability Committee,3
Energy and Commerce Committee,"Health, Education, Labor, and Pensions Committee",29
"Health, Education, Labor, and Pensions Committee",Judiciary Committee,4
Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",10
Agriculture Committee,Financial Services Committee,30
"Agriculture, Nutrition, and Forestry Committee",Financial Services Committee,2
Armed Services Committee,Committee on House Administration,3
Armed Services Committee,Education and the Workforce Committee,17
Armed Services Committee,Judiciary Committee,33
Armed Services Committee,Oversight and Accountability Committee,32
Education and the Workforce Committee,Foreign Affairs Committee,10
Education and the Workforce Committee,Homeland Security Committee,6
Foreign Affairs Committee,Homeland Security Committee,18
Homeland Security Committee,Ways and Means Committee,22
Budget Committee,Rules Committee,38
Appropriations Committee,Foreign Affairs Committee,5
Homeland Security Committee,Homeland Security and Governmental Affairs Committee,58
Finance Committee,Homeland Security Committee,1
Finance Committee,Judiciary Committee,6
Armed Services Committee,Foreign Relations Committee,2
Foreign Relations Committee,Judiciary Committee,11
Foreign Relations Committee,Ways and Means Committee,5
Natural Resources Committee,Ways and Means Committee,41
Budget Committee,Committee on House Administration,7
Budget Committee,Financial Services Committee,17
Budget Committee,Judiciary Committee,29
Budget Committee,Oversight and Accountability Committee,19
Budget Committee,Small Business Committee,4
Budget Committee,Transportation and Infrastructure Committee,17
Committee on House Administration,Small Business Committee,1
Committee on House Administration,Ways and Means Committee,26
Education and the Workforce Committee,Financial Services Committee,32
Education and the Workforce Committee,Small Business Committee,8
Financial Services Committee,Small Business Committee,8
Judiciary Committee,Small Business Committee,11
Oversight and Accountability Committee,Small Business Committee,8
Small Business Committee,Transportation and Infrastructure Committee,4
Small Business Committee,Ways and Means Committee,8
Transportation and Infrastructure Committee,Ways and Means Committee,45
Appropriations Committee,Oversight and Accountability Committee,13
Agriculture Committee,Natural Resources Committee,68
Financial Services Committee,Rules Committee,9
"Science, Space, and Technology Committee",Transportation and Infrastructure Committee,31
Education and the Workforce Committee,Natural Resources Committee,25
Financial Services Committee,Natural Resources Committee,7
Agriculture Committee,Judiciary Committee,27
Budget Committee,Natural Resources Committee,13
Energy and Commerce Committee,Rules Committee,23
Judiciary Committee,Rules Committee,35
Natural Resources Committee,Rules Committee,14
Rules Committee,Transportation and Infrastructure Committee,12
Armed Services Committee,Natural Resources Committee,14
Oversight and Accountability Committee,Rules Committee,32
Rules Committee,Small Business Committee,2
"Commerce, Science, and Transportation Committee",Homeland Security Committee,16
Agriculture Committee,Energy and Commerce Committee,47
Budget Committee,Homeland Security and Governmental Affairs Committee,1
Homeland Security and Governmental Affairs Committee,Rules Committee,2
Appropriations Committee,Rules Committee,14
Armed Services Committee,"Science, Space, and Technology Committee",10
Armed Services Committee,Small Business Committee,5
Oversight and Accountability Committee,"Science, Space, and Technology Committee",13
"Science, Space, and Technology Committee",Small Business Committee,3
Energy and Natural Resources Committee,"Science, Space, and Technology Committee",8
"Science, Space, and Technology Committee",Veterans,6
Agriculture Committee,"Science, Space, and Technology Committee",8
Agriculture Committee,Transportation and Infrastructure Committee,25
Energy and Commerce Committee,"Science, Space, and Technology Committee",42
Foreign Affairs Committee,Homeland Security and Governmental Affairs Committee,1
Homeland Security and Governmental Affairs Committee,Intelligence (Permanent Select) Committee,2
Budget Committee,"Science, Space, and Technology Committee",8
Judiciary Committee,"Science, Space, and Technology Committee",12
"Science, Space, and Technology Committee",Ways and Means Committee,15
Financial Services Committee,Homeland Security Committee,5
Agriculture Committee,Budget Committee,10
Agriculture Committee,Committee on House Administration,3
Agriculture Committee,Oversight and Accountability Committee,15
Agriculture Committee,Rules Committee,8
Education and the Workforce Committee,Rules Committee,16
Agriculture Committee,Armed Services Committee,8
Education and the Workforce Committee,"Science, Space, and Technology Committee",22
Energy and Commerce Committee,Veterans,15
Veterans,Ways and Means Committee,18
Intelligence (Permanent Select) Committee,Intelligence (Select) Committee,3
Energy and Commerce Committee,Homeland Security Committee,17
Energy and Commerce Committee,Homeland Security and Governmental Affairs Committee,4
Homeland Security and Governmental Affairs Committee,Transportation and Infrastructure Committee,13
Appropriations Committee,Natural Resources Committee,11
Energy and Commerce Committee,Energy and Natural Resources Committee,13
Foreign Relations Committee,Homeland Security Committee,2
Armed Services Committee,Intelligence (Permanent Select) Committee,14
Energy and Commerce Committee,Intelligence (Permanent Select) Committee,3
Foreign Affairs Committee,"Science, Space, and Technology Committee",6
Homeland Security Committee,Intelligence (Permanent Select) Committee,4
Homeland Security Committee,Oversight and Accountability Committee,16
Homeland Security Committee,"Science, Space, and Technology Committee",9
Intelligence (Permanent Select) Committee,Oversight and Accountability Committee,5
Intelligence (Permanent Select) Committee,"Science, Space, and Technology Committee",2
Homeland Security Committee,Natural Resources Committee,6
Small Business Committee,Small Business and Entrepreneurship Committee,7
