committee,count
Ways and Means Committee,1937
Judiciary Committee,1503
Energy and Commerce Committee,1171
Finance Committee,786
Natural Resources Committee,744
Education and the Workforce Committee,660
Oversight and Accountability Committee,632
Foreign Affairs Committee,609
Transportation and Infrastructure Committee,489
Energy and Natural Resources Committee,458
"Health, Education, Labor, and Pensions Committee",387
Armed Services Committee,386
Financial Services Committee,365
Homeland Security and Governmental Affairs Committee,301
Veterans,290
Rules Committee,265
Foreign Relations Committee,218
Environment and Public Works Committee,205
Agriculture Committee,198
Homeland Security Committee,186
Committee on House Administration,164
"Commerce, Science, and Transportation Committee",158
"Banking, Housing, and Urban Affairs Committee",156
"Science, Space, and Technology Committee",149
"Agriculture, Nutrition, and Forestry Committee",95
Small Business Committee,58
Budget Committee,57
Rules and Administration Committee,52
Indian Affairs Committee,52
Intelligence (Permanent Select) Committee,43
Small Business and Entrepreneurship Committee,39
Affairs Committee,16
Appropriations Committee,12
Intelligence (Select) Committee,5
Ethics Committee,3
