source,target,weight
Agriculture Committee,Ways and Means Committee,43
Education and the Workforce Committee,Energy and Commerce Committee,139
Education and the Workforce Committee,Judiciary Committee,99
Education and the Workforce Committee,Oversight and Accountability Committee,56
Education and the Workforce Committee,Transportation and Infrastructure Committee,47
Energy and Commerce Committee,Judiciary Committee,168
Energy and Commerce Committee,Oversight and Accountability Committee,75
Energy and Commerce Committee,Transportation and Infrastructure Committee,123
Judiciary Committee,Oversight and Accountability Committee,86
Judiciary Committee,Transportation and Infrastructure Committee,45
Oversight and Accountability Committee,Transportation and Infrastructure Committee,42
Budget Committee,Rules Committee,28
Committee on House Administration,Transportation and Infrastructure Committee,9
Foreign Affairs Committee,Oversight and Accountability Committee,54
Foreign Affairs Committee,Foreign Relations Committee,51
Education and the Workforce Committee,Natural Resources Committee,42
Committee on House Administration,Oversight and Accountability Committee,53
Foreign Affairs Committee,Ways and Means Committee,82
Financial Services Committee,Foreign Affairs Committee,87
Financial Services Committee,Judiciary Committee,90
Financial Services Committee,Ways and Means Committee,79
Foreign Affairs Committee,Judiciary Committee,134
Judiciary Committee,Ways and Means Committee,110
Energy and Commerce Committee,Rules Committee,9
,Armed Services Committee,22
,Veterans,136
Armed Services Committee,Veterans,29
Committee on House Administration,Rules and Administration Committee,4
Appropriations Committee,Committee on House Administration,1
Agriculture Committee,Education and the Workforce Committee,47
Agriculture Committee,Energy and Commerce Committee,76
Education and the Workforce Committee,Ways and Means Committee,120
Energy and Commerce Committee,Ways and Means Committee,324
Foreign Affairs Committee,Natural Resources Committee,36
Foreign Affairs Committee,Rules Committee,18
Appropriations Committee,Budget Committee,21
Financial Services Committee,Oversight and Accountability Committee,45
Agriculture Committee,Natural Resources Committee,112
Agriculture Committee,Oversight and Accountability Committee,22
Agriculture Committee,"Science, Space, and Technology Committee",21
Agriculture Committee,Transportation and Infrastructure Committee,47
Education and the Workforce Committee,"Science, Space, and Technology Committee",25
Energy and Commerce Committee,Natural Resources Committee,111
Energy and Commerce Committee,"Science, Space, and Technology Committee",59
